name,msg,time,link,length,expmsg
А.Б.,"Re: И даже не топливо - ""рабочее тело"" :)",2001-12-04 15:11:01,https://vif2ne.org/nvk/forum/archive/words/92746?text=,1.76K,"Для сей затеи - установка должна быть ядерной - электричество тоже нужно в течении всего полета. Батареек - не хватит :)..."""
Guy,Re: Довольно утопический...,2001-04-13 15:48:26,https://vif2ne.org/nvk/forum/archive/words/92753?text=,2.83K,">Я думаю все в этой жизни решаемо, особенно если есть желание и возможности что-то делать.Kонeчн..."""
NV,Не совсем так,2001-04-13 16:32:22,https://vif2ne.org/nvk/forum/archive/words/92754?text=,3.04K,">>Я думаю все в этой жизни решаемо, особенно если есть желание и возможности что-то делать.>>Kонeчн..."""
Pavel,Re: Не совсем...,2001-04-13 17:54:17,https://vif2ne.org/nvk/forum/archive/words/92755?text=,2.61K,"Доброго времени суток!Человечество изрядно обленилось и стало нелюбопытным - наблюдается уже довольно долго застой в..."""
NV,Критерии застоя в науке,2001-04-13 18:32:05,https://vif2ne.org/nvk/forum/archive/words/92756?text=,3.61K,">Доброго времени суток!>Человечество изрядно обленилось и стало нелюбоп..."""
NV,Правильнее было бы сказать - индикаторы застоя (-),2001-04-13 18:41:59,https://vif2ne.org/nvk/forum/archive/words/92757?text=,1.71K,"..."""
Максим Гераськин,А скока нас? (-),2001-04-13 19:35:33,https://vif2ne.org/nvk/forum/archive/words/92969?text=,3.04K,"..."""
Николай Поникаров,"Нас мало, но мы в тельняшках! :)) (-)",2001-04-13 21:38:28,https://vif2ne.org/nvk/forum/archive/words/92970?text=,2.98K,"..."""
Дервиш,Лунная база?,2001-04-14 01:51:23,https://vif2ne.org/nvk/forum/archive/words/93099?text=,4.88K,"Сегодня как раз спорил с корешом о перспективах пилотируемой космонавтики на фоне публикаций к Дню.Вот и постинг у нас про Марс ..."""
NetReader,Re: Лунная база?,2001-04-14 02:18:52,https://vif2ne.org/nvk/forum/archive/words/93100?text=,5.20K,">Сегодня как раз спорил с корешом о перспективах пилотируемой космонавтики на фоне публикаций к Дню.Вот и пости..."""
Дервиш,Re: Лунная база?,2001-04-14 04:45:37,https://vif2ne.org/nvk/forum/archive/words/93101?text=,4.75K,">""В то время, когда космические корабли покоряют просторы Вселенной..."" :) На самом деле, далеко неочев..."""
Ф.Фомичёв,Ещё про журнал ГАгарина...,2001-04-14 05:28:19,https://vif2ne.org/nvk/forum/archive/words/93120?text=,1.86K,"Приветствую  Вас!Журнал был подарен в 1962  -1963 гг. Хрущёвым ФИделю Кастро. Космонавты  (немногочисенные) и конструкто..."""
УСТС,Re: Лунная база?,2001-04-14 05:44:21,https://vif2ne.org/nvk/forum/archive/words/93103?text=,4.31K,"Приветствую!>Нужна ли нам(людям вообче) Лунная база? Вообще, наверно, нужна будет.Но тог..."""
Дервиш,Re: Лунная база?,2001-04-14 06:16:10,https://vif2ne.org/nvk/forum/archive/words/93104?text=,6.63K,">Приветствую!>>Нужна ли нам(людям вообче) Лунная база?>Вообще, наверно,..."""
Ф.Фомичёв,Re: Зачем?,2001-04-14 07:50:39,https://vif2ne.org/nvk/forum/archive/words/93105?text=,2.35K,"Приветствую  Вас!НА Земле много нерешённых проблем. Человечество не в состоянии договориться о их решении. ЛУнную ба..."""
Alex Lee,"Со временем, все со временем...",2001-04-14 13:48:10,https://vif2ne.org/nvk/forum/archive/words/93106?text=,2.38K,"Поскольку Солнце не вечно, единственный способ человеку выжить как виду - осваивать далекий космос. Так что туда человечеств..."""
Василий Фофанов,"Гммм а как поддерживать, железо образующееся вычерпывать? :) (-)",2001-04-14 18:08:39,https://vif2ne.org/nvk/forum/archive/words/93107?text=,1.80K,"..."""
И. Кошкин,"""Таким образом...""",2001-04-14 19:10:21,https://vif2ne.org/nvk/forum/archive/words/93108?text=,2.62K,"Я вас приветствую! Хррр. Хрррр. Ххуррагх!> Поскольку Солнце не вечно, единственный способ человеку ..."""
dys,Re: Лунная база?,2001-04-14 20:22:02,https://vif2ne.org/nvk/forum/archive/words/93109?text=,2.97K,"Вообще только бредовые идеи движут человечество. Рационально можно только деградировать.Если Россия хоть немного подниме..."""
alex,"Земля - колыбель человечества,..",2001-04-14 21:59:50,https://vif2ne.org/nvk/forum/archive/words/93102?text=,1.90K,"> На самом деле, далеко неочевидна необходимость и полезность пилотируемой космонавтики ВООБЩЕ....."""
den~,Re: Лунная база?,2001-04-15 14:08:16,https://vif2ne.org/nvk/forum/archive/words/93110?text=,2.11K,"если бы не горбачизм - вполне могло бы все пойти по Кларку.две сверхдержавы поддерживают порядок в мире - высвобождается огр..."""
den~,Re: Проблема радиации,2001-04-15 14:49:16,https://vif2ne.org/nvk/forum/archive/words/92764?text=,2.00K,"а на АМСы датчики излучения не ставили? - все ж какая никакая информация по обстановке в системе.и кстати перед кораблем над..."""
den~,Re: Не совсем...,2001-04-15 15:00:37,https://vif2ne.org/nvk/forum/archive/words/92758?text=,2.96K,">Решения как раз есть и довольно давно, современный уровень такой полет вполне позволяет. Однако на это дело на..."""
Андрей Л.,"Теории Хейердала, конечно, бред, но...",2001-04-15 15:15:17,https://vif2ne.org/nvk/forum/archive/words/92759?text=,3.26K,">дело думаю не в застое - в америку и викинги плавали(а еще раньше египтяне с финикийцами - впрочем это не евро..."""
den~,"Re: Теории Хейердала,",2001-04-15 16:08:16,https://vif2ne.org/nvk/forum/archive/words/92760?text=,2.29K,">Вы совершенно правы: очень часто технические достижения и географические открытия оказываются забытыми или про..."""
astronavt,Re: Есть такой...,2001-04-16 04:24:20,https://vif2ne.org/nvk/forum/archive/words/92748?text=,1.74K,"Естественно, гадить такая силовая установка будет неимоверно.-------------------не больше чем звезда обычная. ..."""
Коля-Анархия,А с чего мало??? человек 20-30 будет... (-),2001-04-16 18:01:02,https://vif2ne.org/nvk/forum/archive/words/92972?text=,2.70K,"..."""
ID,Коля ты вспомни сколько человек пришло 23-го февраля.,2001-04-16 19:28:57,https://vif2ne.org/nvk/forum/archive/words/92973?text=,2.69K,"ВИФ-овцов было восемь человек, причем вместе с московскими подкреплениями (то бишь с ув.Никольским). Не думаю что 9-го будет мно..."""
Коля-Анархия,А ты вспомни обсуждение позджее на ВИФе... Скока хотело? И про клубных не забудь (-),2001-04-17 06:39:28,https://vif2ne.org/nvk/forum/archive/words/92974?text=,1.88K,"..."""
Ortodox,Какова программа-минимум ? (-),2001-04-17 10:22:55,https://vif2ne.org/nvk/forum/archive/words/92975?text=,2.11K,"..."""
Сергей Беккер,где взять подробности на ГИРД,2001-04-17 14:29:38,https://vif2ne.org/nvk/forum/archive/words/94104?text=,2.37K,"Приветствую!Кто поможет где найти описание первых ракет КБ королёва и ЦАГИ?С уважением Сергей Беккер..."""
Albert,"""лично сбил две баллистические ракеты""",2001-04-17 16:57:24,https://vif2ne.org/nvk/forum/archive/words/94117?text=,2.42K,"http://www.grani.ru:8101/nmd/articles/threat/""..."""
i17,ПРО - - ЛАЖА ! Сказки для налогоплательщиков.,2001-04-17 17:59:33,https://vif2ne.org/nvk/forum/archive/words/94118?text=,3.28K,">  http://www.grani.ru:8101/nmd/artic..."""
den~,самое интересное с ПРО не в этом,2001-04-17 23:10:18,https://vif2ne.org/nvk/forum/archive/words/94119?text=,2.11K,с чего амеры взяли что их корейцы/иракцы/иранцы будут расстреливать ЯО?(даже если оное у них появится) -по какой причине?
Shapr (Юрий),Re: где взять...,2001-04-18 04:57:47,https://vif2ne.org/nvk/forum/archive/words/94105?text=,1.93K,"Когда-то давно-давно такая статья с чертежами была в ""Моделисте-конструкторе"". На майские праздники если поеду к родителям и еще..."""
Коля-Анархия,Поговорить. Пива попить.ъ (-),2001-04-18 06:35:41,https://vif2ne.org/nvk/forum/archive/words/92976?text=,1.97K,"..."""
FVL1~01,"Да Историческая Серия, район кажется 1974-75гг.. (-)",2001-04-18 10:04:48,https://vif2ne.org/nvk/forum/archive/words/94106?text=,1.74K,"..."""
FVL1~01,А можно пойти в Москве в Политехнический музей и пощупать. (-),2001-04-18 10:05:25,https://vif2ne.org/nvk/forum/archive/words/94107?text=,1.89K,"..."""
FVL1~01,Если не в Москве то...,2001-04-18 10:10:33,https://vif2ne.org/nvk/forum/archive/words/94108?text=,1.87K,"И снова здравствуйтеможно сюда  http://novosti.on..."""
Ortodox,Re: Поговорить. Пива...,2001-04-18 10:37:44,https://vif2ne.org/nvk/forum/archive/words/92977?text=,1.83K,"Надо рассматривать все версииЕсли обстоятельства позволят, охотно приму участие.Может на Средней Рогатке ?Or..."""
Ortodox,Парадокс ! В Ньюйорк сити таких желающих больше !(?),2001-04-18 10:46:34,https://vif2ne.org/nvk/forum/archive/words/92978?text=,1.78K,"..."""
А.Никольский,Бред про Венеру в научной газете,2001-04-18 12:56:39,https://vif2ne.org/nvk/forum/archive/words/94328?text=,5.05K,"Добрый день!В очередной весьма красочной статье про парниковый эффект прочитал такое. Но это ведь бред? Как же на Венеру сел..."""
Андю,"Истинные знатоки поправят, но, (+)",2001-04-18 13:21:11,https://vif2ne.org/nvk/forum/archive/words/94329?text=,3.82K,"Приветствую !>В очередной весьма красочной статье про парниковый эффект прочитал такое. Но это ведь бре..."""
Rustam Muginov,"Если мне не именяет память, то...",2001-04-18 13:23:17,https://vif2ne.org/nvk/forum/archive/words/94330?text=,1.99K,"Здравствуйте, уважаемые.>Нехорошо не знать, что на Венеру садились ТОЛЬКО НАШИ станции ;)) И фотографии..."""
СанитарЖеня,Так на Венере и есть 500С!,2001-04-18 13:43:16,https://vif2ne.org/nvk/forum/archive/words/94340?text=,3.28K,"Бред полный!>      Скептики-оптимисты могут сказать, что, по всем существующим ныне прогнозам, парников..."""
СанитарЖеня,Re: Истинные знатоки...,2001-04-18 13:53:29,https://vif2ne.org/nvk/forum/archive/words/94331?text=,4.63K,">Нехорошо не знать, что на Венеру садились ТОЛЬКО НАШИ станции ;)) И фотографии с ее поверхности тоже ТОЛЬКО НА..."""
Андю,"А можно про ""Северную Пробу"" подробнее ? (+)",2001-04-18 14:01:23,https://vif2ne.org/nvk/forum/archive/words/94332?text=,2.44K,"Приветствую !>Зонд ""North Probe"" (12104 / 1978 078E) v посадка 09.12.1978>Зонд ""Night Probe"" (12106..."""
Константин Федченко,"судя по 78 году - это зонды от ""Пионер-Венера"" №1 и 2 (-)",2001-04-18 14:07:12,https://vif2ne.org/nvk/forum/archive/words/94333?text=,1.83K,"..."""
Василий Фофанов,"Танк секретный, физики могли не знать",2001-04-18 14:10:24,https://vif2ne.org/nvk/forum/archive/words/94341?text=,2.07K,"СанитарЖеня прав, это на поверхности Солнца 6000, а вовсе не на поверхности Венеры. Особенно умиляет оборот ""однако, как известн..."""
Ortodox,Re: Бред про...,2001-04-18 16:11:05,https://vif2ne.org/nvk/forum/archive/words/94342?text=,2.36K,"Надо рассматривать все версии>Добрый день!>В очередной весьма красочной статье про парниковый эффек..."""
NV,Если совсем строго,2001-04-18 17:52:13,https://vif2ne.org/nvk/forum/archive/words/94334?text=,2.76K,"то на поверхность сели и Венеры с 3 по 6. Правда, вроде Венера 3 и не пикнула, хотя тормозной импульс отработал и процесс пошел...."""
Андю,"А амеры ? Мягко сели,  плюхнулись, отметились ""входом в атмосферу"" ? Интересно. (-)",2001-04-18 17:54:47,https://vif2ne.org/nvk/forum/archive/words/94335?text=,2.28K,"..."""
NV,Вроде нормально сели,2001-04-18 18:29:09,https://vif2ne.org/nvk/forum/archive/words/94336?text=,2.60K,"Слава Богу, параметры атмосферы и все, что их ожидало, уже было известно. Венера-4 вела передачу где-то до высоты 40км (ее рассч..."""
Alex Lee,"Фото Земли ночью. Фотка (вернее фотоколлаж) большая, но она того стоит:",2001-04-18 18:39:50,https://vif2ne.org/nvk/forum/archive/words/94750?text=,3.92K, http://www.dpreview.com/misc/rdr.asp?url= 
Stan,Вечная ночь на всей планете.... Что солнечное затмение? (-),2001-04-18 19:13:57,https://vif2ne.org/nvk/forum/archive/words/94751?text=,2.22K,"..."""
NV,Коллаж из многих снимков (-),2001-04-18 19:17:35,https://vif2ne.org/nvk/forum/archive/words/94752?text=,1.78K,"..."""
Alex Lee,А кроме того - ни одного облачка на всей планете : )   Это коллаж. (-),2001-04-18 19:24:06,https://vif2ne.org/nvk/forum/archive/words/94754?text=,1.82K,"..."""
Шурик Мурик,Re: Коллаж из...,2001-04-18 19:39:03,https://vif2ne.org/nvk/forum/archive/words/94753?text=,1.72K,"Естественно, а как на один снимок всю Землю снять.Просто спутник и Солнце были по разные стороны и вращались вместе вокруг З..."""
Андю,Понял. Горд за наших. А теперь про амеров. (+),2001-04-19 00:22:22,https://vif2ne.org/nvk/forum/archive/words/94337?text=,3.72K,"Приветствую !Посмотрел я следующие ссылки по Венере и посмотрел несколько книжек (в частности, большой космический слова..."""
BlackDragon,Re: Фото Земли...,2001-04-19 10:33:25,https://vif2ne.org/nvk/forum/archive/words/94755?text=,1.79K,"Ну теперь-то понятно, кто больше всех электроэнергии жрет на квадратный километр - посмотрите на Северную Америку ;-))) А вообще..."""
NV,Совершенно верно,2001-04-19 11:32:10,https://vif2ne.org/nvk/forum/archive/words/94338?text=,3.19K,">Судя по всему, мягких посадок у американцев НЕ было. Был спуск в атмосферу корабля-носителя Pioneer Venus Mult..."""
Андю,Re: Совершенно верно,2001-04-19 11:41:17,https://vif2ne.org/nvk/forum/archive/words/94339?text=,2.91K,"Приветствую !>это были именно ""пенетраторы"", задачу ставили перед ними ""воткнуться"" в поверхность. Зада..."""
М.Старостин,Re: Фото Земли...,2001-04-19 13:17:34,https://vif2ne.org/nvk/forum/archive/words/94756?text=,2.40K,"Самое прикольное - Корея, север и юг. Как ножом отрезано :)И Сомали тоже ничего, Могадишо горит - и ВСЕ.Даже Эфи..."""
Андю,Дык между Дублином и Лондоном еще и море-окиян имеется. Фонарь не воткнешь :)))) (-),2001-04-19 13:25:21,https://vif2ne.org/nvk/forum/archive/words/94757?text=,1.84K,"..."""
Александр Кузьмин,Товарищи! Экономьте электрическую энергию!,2001-04-19 13:49:04,https://vif2ne.org/nvk/forum/archive/words/94759?text=,2.10K,"А вот интересно что образует почти прямую линию которая рассекает Казахстан?..."""
Alex Lee,Прямые длинные линии - может железные дороги? (-),2001-04-19 14:14:58,https://vif2ne.org/nvk/forum/archive/words/94760?text=,1.76K,"..."""
М.Старостин,Re: Дык между...,2001-04-19 18:10:51,https://vif2ne.org/nvk/forum/archive/words/94758?text=,1.68K,"Плавали, знаем :)Речь шла о дороге по суше :)..."""
М.Старостин,Re: Товарищи! Экономьте...,2001-04-19 18:14:01,https://vif2ne.org/nvk/forum/archive/words/94761?text=,1.92K,">А вот интересно что образует почти прямую линию которая рассекает Казахстан?Железная дорога..."""
Петров Борис,Вчера фраза итальянца ... озадачила,2001-04-20 15:08:46,https://vif2ne.org/nvk/forum/archive/words/95465?text=,2.15K,"""И я рад быть первым ЕВРОПЕЙСКИМ космонавтом на МКС.""Типа, Крамарев летал - азиат?Борис..."""
boogie man,"Re: У него на рукаве нашивка была ""Европейское Космическое Агенство""",2001-04-20 15:15:31,https://vif2ne.org/nvk/forum/archive/words/95466?text=,1.90K,"Имелись в виду страны ЕЭС...."""
Поручик Баранов,Перевели так,2001-04-20 15:17:57,https://vif2ne.org/nvk/forum/archive/words/95467?text=,2.02K,"Добрый день!>""И я рад быть первым ЕВРОПЕЙСКИМ космонавтом на МКС."">Типа..."""
